Date,RPi version,Round,Colony,RPi,Experiment,Treatment,Tube,Flipped_tube,Solution,Start,End,Change,Survival,Recording,Remained_escaped,Start_t,Stop_t,Model,Additional_notes,Exclude
12/05/2026,5,7,MY3,16,Amygdalin,2.5mM,R,L,2.5mM,3.3093,3.2613,0.048,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,17,Amygdalin,0.1mM,L,R,S,3.2655,3.2188,0.0467,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,17,Amygdalin,0.1mM,R,L,0.1mM,3.2036,3.1426,0.061,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,18,Amygdalin,Control,L,R,S,3.2333,3.1786,0.0547,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,18,Amygdalin,Control,R,L,S,3.3377,3.3054,0.0323,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,19,Amygdalin,0.5mM,L,R,S,NA,NA,NA,NA,0,NA,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,19,Amygdalin,0.5mM,R,L,0.5mM,NA,NA,NA,NA,0,NA,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,20,Amygdalin,5mM,L,R,5mM,3.2136,3.0808,0.1328,1,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,20,Amygdalin,5mM,R,L,S,3.2766,3.1556,0.121,1,1,1,14:05,14:06,Old_YOLO,,
13/05/2026,4,8,MY4,1,Amygdalin,Control,L,R,S,3.4768,3.2782,0.1986,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,1,Amygdalin,Control,R,L,S,3.385,3.2728,0.1122,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,2,Amygdalin,0.1mM,L,R,S,3.3479,3.2591,0.0888,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,2,Amygdalin,0.1mM,R,L,0.1mM,3.1895,3.0494,0.1401,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,3,Amygdalin,2.5mM,L,R,S,3.3219,3.2029,0.119,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,3,Amygdalin,2.5mM,R,L,2.5mM,3.1816,3.098,0.0836,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,4,Amygdalin,5mM,L,R,5mM,3.2494,3.1211,0.1283,0,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,4,Amygdalin,5mM,R,L,S,3.2717,3.1898,0.0819,0,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,5,Amygdalin,0.5mM,L,R,0.5mM,3.3113,3.2039,0.1074,0,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,5,Amygdalin,0.5mM,R,L,S,3.2513,3.1692,0.0821,0,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,6,Amygdalin,5mM,L,R,S,3.367,2.9941,0.3729,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,6,Amygdalin,5mM,R,L,5mM,3.3867,3.3151,0.0716,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,7,Amygdalin,0.1mM,L,R,0.1mM,3.1095,2.9415,0.168,0,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,7,Amygdalin,0.1mM,R,L,S,3.2825,3.1897,0.0928,0,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,8,Amygdalin,2.5mM,L,R,S,3.4049,NA,NA,1,1,1,12:22,12:25,YOLO_tubes,the L tube had opened and leaked all the liquid (probably got caught on something in the incubator),1
13/05/2026,4,8,MY4,8,Amygdalin,2.5mM,R,L,2.5mM,3.3378,3.219,NA,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,9,Amygdalin,Control,L,R,S,3.3141,3.1547,0.1594,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,9,Amygdalin,Control,R,L,S,3.2822,3.1247,0.1575,1,1,1,12:22,12:25,YOLO_tubes,,
13/05/2026,4,8,MY4,10,Amygdalin,0.5mM,L,R,0.5mM,3.3731,3.2731,0.1,1,1,1,12:22,12:25,YOLO_tubes,,
